text,intent
tôi muốn mua điện thoại mới,buying
mình cần tư vấn điện thoại tốt,buying
gợi ý cho mình một con iphone đi,buying
bạn có thể giới thiệu điện thoại không?,buying
mình muốn chọn điện thoại phù hợp,buying

xin chào,greeting
hello bạn,greeting
hi shop ơi,greeting
chào bạn,greeting
hê lô,greeting

samsung có điện thoại nào ngon không?,brand_query
bạn có bán iphone không?,brand_query
tư vấn giúp mình điện thoại xiaomi đi,brand_query
điện thoại oppo có dòng nào mới?,brand_query
realme có gì hot?,brand_query

mình thích chụp ảnh đẹp,camera_query
điện thoại nào chụp hình tốt vậy?,camera_query
mình cần máy ảnh xịn để đi du lịch,camera_query
có máy nào chụp đẹp không?,camera_query

mình hay chơi game,game_query
tư vấn điện thoại chơi game mượt đi,game_query
điện thoại nào chơi game tốt?,game_query
game nặng như genshin thì máy nào ok?,game_query

tôi muốn điện thoại dưới 10 triệu,price_query
máy nào giá rẻ dưới 5 triệu không?,price_query
có điện thoại tầm trung nào không?,price_query
cho mình xin vài mẫu giá tốt,price_query

có bảo hành không?,warranty_query
shop có hỗ trợ trả góp không?,installment_query
bao lâu thì nhận được hàng?,delivery_query
